Code,Name,Year,Indicator,Indicator code,Value
200000,DOLNOŚLĄSKIE,2002,Małżeństwa na 1000 ludności wg lokalizacji,3430,4.7
200000,DOLNOŚLĄSKIE,2003,Małżeństwa na 1000 ludności wg lokalizacji,3430,4.8
200000,DOLNOŚLĄSKIE,2004,Małżeństwa na 1000 ludności wg lokalizacji,3430,4.7
200000,DOLNOŚLĄSKIE,2005,Małżeństwa na 1000 ludności wg lokalizacji,3430,5.2
200000,DOLNOŚLĄSKIE,2006,Małżeństwa na 1000 ludności wg lokalizacji,3430,5.7
200000,DOLNOŚLĄSKIE,2007,Małżeństwa na 1000 ludności wg lokalizacji,3430,6.5
200000,DOLNOŚLĄSKIE,2008,Małżeństwa na 1000 ludności wg lokalizacji,3430,6.6
200000,DOLNOŚLĄSKIE,2009,Małżeństwa na 1000 ludności wg lokalizacji,3430,6.3
200000,DOLNOŚLĄSKIE,2010,Małżeństwa na 1000 ludności wg lokalizacji,3430,5.6
200000,DOLNOŚLĄSKIE,2011,Małżeństwa na 1000 ludności wg lokalizacji,3430,5.2
200000,DOLNOŚLĄSKIE,2012,Małżeństwa na 1000 ludności wg lokalizacji,3430,5.2
200000,DOLNOŚLĄSKIE,2013,Małżeństwa na 1000 ludności wg lokalizacji,3430,4.4
200000,DOLNOŚLĄSKIE,2014,Małżeństwa na 1000 ludności wg lokalizacji,3430,4.7
200000,DOLNOŚLĄSKIE,2015,Małżeństwa na 1000 ludności wg lokalizacji,3430,4.5
200000,DOLNOŚLĄSKIE,2016,Małżeństwa na 1000 ludności wg lokalizacji,3430,4.8
200000,DOLNOŚLĄSKIE,2017,Małżeństwa na 1000 ludności wg lokalizacji,3430,4.8
200000,DOLNOŚLĄSKIE,2018,Małżeństwa na 1000 ludności wg lokalizacji,3430,4.9
200000,DOLNOŚLĄSKIE,2019,Małżeństwa na 1000 ludności wg lokalizacji,3430,4.8
200000,DOLNOŚLĄSKIE,2020,Małżeństwa na 1000 ludności wg lokalizacji,3430,3.7
200000,DOLNOŚLĄSKIE,2021,Małżeństwa na 1000 ludności wg lokalizacji,3430,4.4
200000,DOLNOŚLĄSKIE,2022,Małżeństwa na 1000 ludności wg lokalizacji,3430,
400000,KUJAWSKO-POMORSKIE,2002,Małżeństwa na 1000 ludności wg lokalizacji,3430,5.1
400000,KUJAWSKO-POMORSKIE,2003,Małżeństwa na 1000 ludności wg lokalizacji,3430,5.1
400000,KUJAWSKO-POMORSKIE,2004,Małżeństwa na 1000 ludności wg lokalizacji,3430,5.0
400000,KUJAWSKO-POMORSKIE,2005,Małżeństwa na 1000 ludności wg lokalizacji,3430,5.6
400000,KUJAWSKO-POMORSKIE,2006,Małżeństwa na 1000 ludności wg lokalizacji,3430,6.2
400000,KUJAWSKO-POMORSKIE,2007,Małżeństwa na 1000 ludności wg lokalizacji,3430,6.8
400000,KUJAWSKO-POMORSKIE,2008,Małżeństwa na 1000 ludności wg lokalizacji,3430,7.1
400000,KUJAWSKO-POMORSKIE,2009,Małżeństwa na 1000 ludności wg lokalizacji,3430,6.8
400000,KUJAWSKO-POMORSKIE,2010,Małżeństwa na 1000 ludności wg lokalizacji,3430,5.9
400000,KUJAWSKO-POMORSKIE,2011,Małżeństwa na 1000 ludności wg lokalizacji,3430,5.4
400000,KUJAWSKO-POMORSKIE,2012,Małżeństwa na 1000 ludności wg lokalizacji,3430,5.3
400000,KUJAWSKO-POMORSKIE,2013,Małżeństwa na 1000 ludności wg lokalizacji,3430,4.7
400000,KUJAWSKO-POMORSKIE,2014,Małżeństwa na 1000 ludności wg lokalizacji,3430,4.9
400000,KUJAWSKO-POMORSKIE,2015,Małżeństwa na 1000 ludności wg lokalizacji,3430,5.0
400000,KUJAWSKO-POMORSKIE,2016,Małżeństwa na 1000 ludności wg lokalizacji,3430,5.0
400000,KUJAWSKO-POMORSKIE,2017,Małżeństwa na 1000 ludności wg lokalizacji,3430,4.9
400000,KUJAWSKO-POMORSKIE,2018,Małżeństwa na 1000 ludności wg lokalizacji,3430,5.0
400000,KUJAWSKO-POMORSKIE,2019,Małżeństwa na 1000 ludności wg lokalizacji,3430,4.6
400000,KUJAWSKO-POMORSKIE,2020,Małżeństwa na 1000 ludności wg lokalizacji,3430,3.8
400000,KUJAWSKO-POMORSKIE,2021,Małżeństwa na 1000 ludności wg lokalizacji,3430,4.2
400000,KUJAWSKO-POMORSKIE,2022,Małżeństwa na 1000 ludności wg lokalizacji,3430,
600000,LUBELSKIE,2002,Małżeństwa na 1000 ludności wg lokalizacji,3430,5.4
600000,LUBELSKIE,2003,Małżeństwa na 1000 ludności wg lokalizacji,3430,5.4
